#syntaxMethod	owner	method	importPath
cats/Foldable.Ops#sequence_().	cats/Foldable#sequence_().	cats/Foldable#sequence_().	cats.syntax.foldable.*
cats/Foldable.Ops#sumAll().	cats/Foldable#sumAll().	cats/Foldable#sumAll().	cats.syntax.foldable.*
cats/Foldable.Ops#takeWhile_().	cats/Foldable#takeWhile_().	cats/Foldable#takeWhile_().	cats.syntax.foldable.*
cats/Foldable.Ops#toIterable().	cats/Foldable#toIterable().	cats/Foldable#toIterable().	cats.syntax.foldable.*
cats/Foldable.Ops#toList().	cats/Foldable#toList().	cats/Foldable#toList().	cats.syntax.foldable.*
cats/Foldable.Ops#traverseVoid().	cats/Foldable#traverseVoid().	cats/Foldable#traverseVoid().	cats.syntax.foldable.*
cats/Foldable.Ops#traverse_().	cats/Foldable#traverse_().	cats/Foldable#traverse_().	cats.syntax.foldable.*
cats/Functor.Ops#as().	cats/Functor#as().	cats/Functor#as().	cats.syntax.functor.*
cats/Functor.Ops#fmap().	cats/Functor#fmap().	cats/Functor#fmap().	cats.syntax.functor.*
cats/Functor.Ops#fproduct().	cats/Functor#fproduct().	cats/Functor#fproduct().	cats.syntax.functor.*
cats/Functor.Ops#fproductLeft().	cats/Functor#fproductLeft().	cats/Functor#fproductLeft().	cats.syntax.functor.*
cats/Functor.Ops#map().	cats/Functor#map().	cats/Functor#map().	cats.syntax.functor.*
cats/Functor.Ops#mapOrKeep().	cats/Functor#mapOrKeep().	cats/Functor#mapOrKeep().	cats.syntax.functor.*
cats/Functor.Ops#tupleLeft().	cats/Functor#tupleLeft().	cats/Functor#tupleLeft().	cats.syntax.functor.*
cats/Functor.Ops#tupleRight().	cats/Functor#tupleRight().	cats/Functor#tupleRight().	cats.syntax.functor.*
cats/Functor.Ops#void().	cats/Functor#void().	cats/Functor#void().	cats.syntax.functor.*
cats/Functor.Ops#widen().	cats/Functor#widen().	cats/Functor#widen().	cats.syntax.functor.*
cats/FunctorFilter.Ops#collect().	cats/FunctorFilter#collect().	cats/FunctorFilter#collect().	cats.syntax.functorFilter.*
cats/FunctorFilter.Ops#filter().	cats/FunctorFilter#filter().	cats/FunctorFilter#filter().	cats.syntax.functorFilter.*
cats/FunctorFilter.Ops#filterNot().	cats/FunctorFilter#filterNot().	cats/FunctorFilter#filterNot().	cats.syntax.functorFilter.*
cats/FunctorFilter.Ops#flattenOption().	cats/FunctorFilter#flattenOption().	cats/FunctorFilter#flattenOption().	cats.syntax.functorFilter.*
